intent,utterance,type,example
hoi_to_hop_mon,Trường mình có xét tuyển khối D09 không,direct,
hoi_phuong_thuc,Nhà trường mình có những phương thức tuyển sinh gì,direct,
hoi_dieu_kien,Ngành Kiến trúc lấy điểm sàn bao nhiêu?,direct,
hoi_to_hop_mon,Khối H01 Toán Vẽ Mỹ thuật có bộ môn thế nào,direct,
hoi_nganh_hoc,Có cách ra sao vào ngành Quản lý xây dựng dễ hơn không?,indirect,
hoi_chung_chi_nn,Chứng chỉ ngoại ngữ thế nào được chấp nhận,direct,
hoi_thoi_gian_dk,Điểm chuẩn bộ môn Quản lý xây dựng năm nay là bao nhiêu?,direct,
hoi_dieu_kien,Tổ hợp môn nào xét vào chuyên ngành Khoa học Máy tính?,direct,
hoi_nganh_hoc,Các chuyên bộ môn của {'LOWER': 'ktcn'},direct,
fallback,Thế còn bộ môn Công nghệ thông tin thì sao?,followup,
hoi_chung_chi_nn,Theo bạn thì chuyên ngành Công nghệ thông tin có khó đỗ không?,indirect,
hoi_thoi_gian_dk,Theo bạn thì bộ môn Công nghệ thông tin có khó đỗ không?,indirect,
hoi_diem_san,Muốn vào Kiến trúc thì cần đạt khoảng mấy điểm nhỉ? nhé,indirect,
hoi_chung_chi_nn,Có cách nào vào ngành học Quản lý xây dựng dễ hơn không?,indirect,
hoi_thoi_gian_dk,Khi thế thế nào mở cổng đăng ký xét tuyển,direct,
hoi_diem_san,Muốn vào Kiến trúc thì cần đạt khoảng mấy điểm nhỉ?,indirect,
hoi_dieu_kien,Thế còn chuyên ngành Kiến trúc thì sao?,followup,
hoi_to_hop_mon,Tổ hợp môn ra sao xét vào ngành Công nghệ thông tin?,direct,
hoi_diem_san,Điểm sàn {'LOWER': 'kt'} năm 2025 nhé,direct,
hoi_chung_chi_nn,Theo bạn thì ngành học Công nghệ thông tin có khó đỗ không?,indirect,
hoi_chung_chi_nn,Điểm TCF tối thiểu để xét tuyển,direct,
hoi_diem_san,Điểm sàn {'LOWER': 'kt'} năm 2025 vậy,direct,
hoi_dieu_kien,Có cách gì vào ngành Khoa học Máy tính dễ hơn không?,indirect,
hoi_chi_tieu,Chỉ tiêu tuyển sinh của {'LOWER': 'cntt'} ạ,direct,
hoi_to_hop_mon,Thế còn chuyên ngành Kiến trúc thì sao?,followup,
hoi_thoi_gian_dk,Tổ hợp môn gì xét vào ngành Công nghệ thông tin?,direct,
hoi_nganh_hoc,Ngành {'LOWER': 'kte'} thuộc khối thế thế nào,direct,
hoi_diem_san,Có cách nào vào bộ môn Công nghệ thông tin dễ hơn không?,indirect,
hoi_nganh_hoc,Trường đại học có những chuyên ngành thế gì,direct,
hoi_to_hop_mon,Khối H01 Toán Vẽ Mỹ thuật có ngành học học ra sao,direct,
hoi_to_hop_mon,Có cách nào vào chuyên ngành Kiến trúc dễ hơn không?,indirect,
hoi_to_hop_mon,Điểm chuẩn ngành Khoa học Máy tính năm nay là bao nhiêu?,direct,
hoi_thoi_gian_dk,Tổ hợp môn nào xét vào ngành Công nghệ thông tin?,direct,
hoi_thoi_gian_dk,Theo bạn thì ngành Kiến trúc có khó đỗ không?,indirect,
hoi_thoi_gian_dk,Hạn cuối đăng ký ưu tiên,direct,
hoi_phuong_thuc,Phương thức ưu tiên áp dụng cho chuyên bộ môn gì,direct,
hoi_phuong_thuc,Tổ hợp môn nào xét vào chuyên ngành Khoa học Máy tính?,direct,
fallback,Tổ hợp môn nào xét vào chuyên ngành Công nghệ thông tin?,direct,
hoi_chung_chi_nn,Ngành Quản lý xây dựng lấy điểm sàn bao nhiêu?,direct,
hoi_chi_tieu,Tổ hợp môn nào xét vào ngành học Khoa học Máy tính?,direct,
hoi_nganh_hoc,Trường đại học có những chuyên ngành học ra sao,direct,
chao_hoi,Tổ hợp môn nào xét vào ngành Kiến trúc?,direct,
hoi_phuong_thuc,Điểm chuẩn ngành học Logistics năm nay là bao nhiêu?,direct,
hoi_chi_tieu,Tổ hợp môn thế nào xét vào ngành Công nghệ thông tin?,direct,
hoi_thoi_gian_dk,Đăng ký nguyện vọng từ ngày thế thế nào,direct,
hoi_thoi_gian_dk,Thời gian đăng ký trực tuyến là khi ra sao,direct,
hoi_to_hop_mon,Khối H01 Toán Vẽ Mỹ thuật có bộ môn học gì,direct,
fallback,Muốn vào Kiến trúc thì cần đạt khoảng mấy điểm nhỉ?,indirect,
hoi_phuong_thuc,Theo bạn thì ngành Công nghệ thông tin có khó đỗ không?,indirect,
hoi_chung_chi_nn,Quy đổi TOEIC sang điểm như thế nào,direct,
hoi_phuong_thuc,Trường mình mình có xét tuyển bằng thi tn không,direct,
hoi_nganh_hoc,Giới thiệu bộ môn học {'LOWER': 'môi'} {'LOWER': 'trường'},direct,
hoi_phuong_thuc,Cách xét tuyển vào {'LOWER': 'cơ'} {'LOWER': 'khí'},direct,
hoi_thoi_gian_dk,Thời gian đăng ký học bạ là khi gì,direct,
hoi_chi_tieu,Tổ hợp môn ra sao xét vào ngành Quản lý xây dựng?,direct,
hoi_dieu_kien,Điều kiện để xét thi tn,direct,
hoi_dieu_kien,Tổ hợp môn nào xét vào bộ môn Quản lý xây dựng?,direct,
hoi_thoi_gian_dk,Thế còn ngành học Kiến trúc thì sao?,followup,
hoi_chi_tieu,Điểm chuẩn ngành Logistics năm nay là bao nhiêu? ạ,direct,
chao_hoi,Có cách nào vào chuyên ngành Kiến trúc dễ hơn không?,indirect,
hoi_thoi_gian_dk,Khi nào bắt đầu đăng ký xét tuyển v-sat,direct,
hoi_thoi_gian_dk,Khi nào mở cổng đăng ký xét tuyển,direct,
hoi_phuong_thuc,Phương thức ưu tiên áp dụng cho chuyên ngành học ra sao,direct,
hoi_phuong_thuc,Ngành Kiến trúc xét tuyển theo phương thức nào?,direct,
fallback,Có cách nào vào bộ môn Khoa học Máy tính dễ hơn không?,indirect,
hoi_phuong_thuc,Nhà trường có xét tuyển bằng thi tn không,direct,
hoi_dieu_kien,Có cách nào vào ngành Khoa học Máy tính dễ hơn không?,indirect,
hoi_nganh_hoc,Ngành {'LOWER': 'kte'} thuộc khối nào,direct,
chao_hoi,Còn Logistics thì điểm sàn thế nào?,followup,
chao_hoi,Có cách gì vào ngành Quản lý xây dựng dễ hơn không?,indirect,
hoi_chi_tieu,Tổng chỉ tiêu của trường,direct,
fallback,Ngành Logistics xét tuyển theo phương thức nào? nhỉ,direct,
chao_hoi,Tổ hợp môn gì xét vào ngành Công nghệ thông tin?,direct,
hoi_thoi_gian_dk,Theo bạn thì bộ môn Kiến trúc có khó đỗ không?,indirect,
hoi_chung_chi_nn,Chứng chỉ ngoại ngữ ra sao được chấp nhận,direct,
hoi_nganh_hoc,Có cách nào vào ngành học Quản lý xây dựng dễ hơn không?,indirect,
hoi_diem_san,Điểm chuẩn tối thiểu của khối H01 Toán Vẽ Mỹ thuật vậy,direct,
hoi_chung_chi_nn,Nhà trường có nhận TCF không vậy,direct,
hoi_dieu_kien,Có cách nào vào ngành học Kiến trúc dễ hơn không?,indirect,
hoi_dieu_kien,Tổ hợp môn thế nào xét vào ngành Quản lý xây dựng?,direct,
hoi_phuong_thuc,Phương thức ưu tiên áp dụng cho chuyên ngành thế gì,direct,
hoi_nganh_hoc,Trường đại học có những chuyên chuyên ngành nào,direct,
fallback,Bạn có thể hỏi rõ hơn không nhé,direct,
chao_hoi,Tổ hợp môn nào xét vào ngành học Quản lý xây dựng?,direct,
hoi_nganh_hoc,Có cách nào vào bộ môn Quản lý xây dựng dễ hơn không?,indirect,
hoi_thoi_gian_dk,Thời gian đăng ký trực tuyến là khi thế thế nào,direct,
fallback,Có cách nào vào ngành học Logistics dễ hơn không?,indirect,
hoi_to_hop_mon,Khối H01 Toán Vẽ Mỹ thuật có ngành học học gì,direct,
hoi_nganh_hoc,Có cách nào vào bộ môn Kiến trúc dễ hơn không?,indirect,
chao_hoi,Có cách nào vào bộ môn Kiến trúc dễ hơn không?,indirect,
chao_hoi,Có cách nào vào chuyên ngành Logistics dễ hơn không?,indirect,
hoi_chi_tieu,Điểm chuẩn ngành Logistics năm nay là bao nhiêu?,direct,
chao_hoi,Có cách ra sao vào ngành Quản lý xây dựng dễ hơn không?,indirect,
hoi_nganh_hoc,Ngành {'LOWER': 'logistics'} thuộc khoa thế nào,direct,
hoi_dieu_kien,Có cách nào vào ngành Kiến trúc dễ hơn không?,indirect,
hoi_chi_tieu,Thế còn chuyên ngành Khoa học Máy tính thì sao?,followup,
hoi_chi_tieu,Chỉ tiêu xét học bạ năm nay nhé,direct,
chao_hoi,Thế còn chuyên ngành Quản lý xây dựng thì sao?,followup,
hoi_diem_san,Thế còn ngành Công nghệ thông tin thì sao?,followup,
hoi_chung_chi_nn,Có quy đổi TOEFL iBT 65 không ạ,direct,
hoi_chung_chi_nn,Theo bạn thì bộ môn Logistics có khó đỗ không?,indirect,
hoi_nganh_hoc,Danh sách chuyên ngành học và mã tuyển sinh,direct,
hoi_nganh_hoc,Danh sách chuyên chuyên ngành và mã tuyển sinh,direct,
hoi_to_hop_mon,Khối H01 Toán Vẽ Mỹ thuật có chuyên ngành gì,direct,
hoi_chung_chi_nn,Nhà trường có nhận TCF không,direct,
hoi_chi_tieu,Chỉ tiêu xét học bạ năm nay,direct,
hoi_chi_tieu,Có cách nào vào bộ môn Khoa học Máy tính dễ hơn không?,indirect,
hoi_phuong_thuc,Còn Khoa học Máy tính thì điểm sàn thế nào?,followup,
hoi_dieu_kien,Có cách ra sao vào ngành Kiến trúc dễ hơn không?,indirect,
hoi_nganh_hoc,Thế còn bộ môn Logistics thì sao?,followup,
fallback,Theo bạn thì bộ môn Quản lý xây dựng có khó đỗ không?,indirect,
hoi_phuong_thuc,Tổ hợp môn nào xét vào ngành Khoa học Máy tính?,direct,
hoi_dieu_kien,Có cách nào vào bộ môn Khoa học Máy tính dễ hơn không?,indirect,
chao_hoi,Có cách nào vào ngành Kiến trúc dễ hơn không?,indirect,
hoi_to_hop_mon,Theo bạn thì ngành Công nghệ thông tin có khó đỗ không?,indirect,
hoi_phuong_thuc,Theo bạn thì bộ môn Quản lý xây dựng có khó đỗ không?,indirect,
fallback,Bạn có thể hỏi rõ hơn không,direct,
hoi_chi_tieu,Tổ hợp môn ra sao xét vào ngành Công nghệ thông tin?,direct,
chao_hoi,Có cách gì vào ngành Công nghệ thông tin dễ hơn không?,indirect,
hoi_nganh_hoc,Ngành {'LOWER': 'cơ'} {'LOWER': 'khí'} có mấy chuyên chuyên ngành,direct,
hoi_dieu_kien,Điểm chuẩn chuyên ngành Công nghệ thông tin năm nay là bao nhiêu?,direct,
hoi_dieu_kien,Ngành Logistics có yêu cầu gì đặc biệt không? ạ,followup,
hoi_diem_san,Điểm chuẩn v-sat vào {'LOWER': 'cơ'} {'LOWER': 'khí'} vậy,direct,
fallback,"Xin lỗi, tôi chưa có câu trả lời",direct,
hoi_diem_san,Điểm chuẩn v-sat vào {'LOWER': 'cơ'} {'LOWER': 'khí'},direct,
hoi_phuong_thuc,Có cách nào vào ngành học Logistics dễ hơn không?,indirect,
hoi_diem_san,Có cách nào vào chuyên ngành Công nghệ thông tin dễ hơn không?,indirect,
hoi_chung_chi_nn,Trường đại học mình có nhận TCF không,direct,
chao_hoi,Tổ hợp môn gì xét vào ngành Quản lý xây dựng?,direct,
hoi_diem_san,Điểm sàn xét tuyển vào trường là bao nhiêu,direct,
hoi_phuong_thuc,Trường mình đại học có xét tuyển bằng thi tn không,direct,
hoi_dieu_kien,Tổ hợp môn gì xét vào ngành Quản lý xây dựng?,direct,
hoi_chung_chi_nn,Trường mình đại học có nhận TCF không,direct,
hoi_chi_tieu,Tổ hợp môn nào xét vào bộ môn Quản lý xây dựng?,direct,
hoi_to_hop_mon,Ngành {'LOWER': 'ktxd'} {'LOWER': 'kinh'} {'LOWER': 'tế'} học khối nào,direct,
hoi_thoi_gian_dk,Thế còn bộ môn Kiến trúc thì sao?,followup,
hoi_nganh_hoc,Ngành Kiến trúc lấy điểm sàn bao nhiêu?,direct,
hoi_to_hop_mon,Có cách ra sao vào ngành Kiến trúc dễ hơn không?,indirect,
hoi_nganh_hoc,Có đào tạo {'LOWER': 'ktct'} {'LOWER': 'thuy'} không,direct,
hoi_chung_chi_nn,Nhà trường đại học có nhận TCF không,direct,
hoi_phuong_thuc,Phương thức ưu tiên áp dụng cho chuyên ngành thế thế nào,direct,
hoi_phuong_thuc,Trường đại học có những phương thức tuyển sinh gì,direct,
hoi_thoi_gian_dk,Điểm chuẩn ngành Kiến trúc năm nay là bao nhiêu?,direct,
hoi_chi_tieu,Còn Công nghệ thông tin thì điểm sàn thế nào?,followup,
hoi_to_hop_mon,Tổ hợp môn gì xét vào ngành Công nghệ thông tin?,direct,
hoi_nganh_hoc,Trường đại học có những chuyên bộ môn nào,direct,
hoi_thoi_gian_dk,Thời gian đăng ký trực tuyến là khi thế ra sao,direct,
hoi_nganh_hoc,Có cách nào vào ngành Kiến trúc dễ hơn không?,indirect,
chao_hoi,Có cách nào vào bộ môn Quản lý xây dựng dễ hơn không?,indirect,
hoi_nganh_hoc,Trường đại học có những chuyên ngành thế ra sao,direct,
hoi_phuong_thuc,Nhà trường có những phương thức tuyển sinh ra sao,direct,
hoi_chung_chi_nn,Danh sách chứng chỉ ngoại ngữ được chấp nhận,direct,
chao_hoi,Chào,direct,
hoi_diem_san,Có cách nào vào ngành học Công nghệ thông tin dễ hơn không?,indirect,
hoi_nganh_hoc,Ngành Công nghệ thông tin thì có xét học bạ không?,followup,
hoi_chi_tieu,Chỉ tiêu v sat là bao nhiêu,direct,
hoi_chung_chi_nn,Chứng chỉ ngoại ngữ thế ra sao được chấp nhận,direct,
hoi_chi_tieu,Có cách nào vào ngành học Kiến trúc dễ hơn không?,indirect,
hoi_dieu_kien,Điều kiện xét tuyển {'LOWER': 'cơ'} {'LOWER': 'điện'} {'LOWER': 'tử'},direct,
hoi_dieu_kien,Có cách nào vào ngành Công nghệ thông tin dễ hơn không?,indirect,
hoi_nganh_hoc,Có cách thế nào vào ngành Kiến trúc dễ hơn không?,indirect,
hoi_diem_san,Có cách nào vào ngành Logistics dễ hơn không?,indirect,
hoi_diem_san,Điểm chuẩn ngành học Logistics năm nay là bao nhiêu?,direct,
hoi_thoi_gian_dk,Điểm chuẩn bộ môn Kiến trúc năm nay là bao nhiêu?,direct,
fallback,Có cách gì vào ngành Logistics dễ hơn không?,indirect,
hoi_thoi_gian_dk,Khi thế thế nào bắt đầu đăng ký xét tuyển v-sat,direct,
fallback,Câu hỏi này tôi chưa có thông tin,direct,
hoi_diem_san,Cho tôi biết điểm chuẩn thấp nhất của {'LOWER': 'xd'} nhé,direct,
fallback,Điểm chuẩn ngành học Quản lý xây dựng năm nay là bao nhiêu?,direct,
hoi_nganh_hoc,Muốn vào Công nghệ thông tin thì cần đạt khoảng mấy điểm nhỉ?,indirect,
hoi_diem_san,Điểm sàn {'LOWER': 'kt'} năm 2025,direct,
hoi_chi_tieu,Theo bạn thì chuyên ngành Quản lý xây dựng có khó đỗ không?,indirect,
hoi_nganh_hoc,Trường đại học có những ngành học gì,direct,
fallback,Thế còn ngành học Logistics thì sao?,followup,
hoi_phuong_thuc,Nhà trường có những phương thức tuyển sinh thế thế nào,direct,
chao_hoi,Thế còn ngành học Quản lý xây dựng thì sao?,followup,
hoi_to_hop_mon,Nhà trường có xét tuyển khối D09 không,direct,
chao_hoi,Có cách nào vào ngành Quản lý xây dựng dễ hơn không?,indirect,
fallback,Còn Khoa học Máy tính thì điểm sàn thế nào?,followup,
hoi_chung_chi_nn,Theo bạn thì ngành Công nghệ thông tin có khó đỗ không?,indirect,
hoi_dieu_kien,Có cách nào vào chuyên ngành Khoa học Máy tính dễ hơn không?,indirect,
fallback,Tôi không hiểu,direct,
ask_major_info,Điểm chuẩn ngành 7510605 năm nay là bao nhiêu?,direct,
ask_major_info,Ngành 7510605 xét tuyển theo phương thức nào?,direct,
ask_major_info,Điểm chuẩn ngành Architecture năm nay là bao nhiêu?,direct,
ask_major_info,Ngành Architecture xét tuyển theo phương thức nào?,direct,
ask_major_info,Điểm chuẩn ngành 7480101 năm nay là bao nhiêu?,direct,
ask_major_info,Ngành 7480101 xét tuyển theo phương thức nào?,direct,
ask_major_info,Điểm chuẩn ngành 7580101 năm nay là bao nhiêu?,direct,
ask_major_info,Ngành 7580101 xét tuyển theo phương thức nào?,direct,
ask_major_info,Điểm chuẩn ngành Computer Science năm nay là bao nhiêu?,direct,
ask_major_info,Ngành Computer Science xét tuyển theo phương thức nào?,direct,
ask_major_info,Điểm chuẩn ngành Quản lý chuỗi cung ứng năm nay là bao nhiêu?,direct,
ask_major_info,Ngành Quản lý chuỗi cung ứng xét tuyển theo phương thức nào?,direct,
ask_major_info,Điểm chuẩn ngành Kiến trúc/ Kiến trúc công nghệ năm nay là bao nhiêu?,direct,
ask_major_info,Điểm chuẩn ngành Kiến trúc cảnh quan năm nay là bao nhiêu?,direct,
ask_major_info,Điểm chuẩn ngành Kiến trúc nội thất năm nay là bao nhiêu?,direct,
ask_major_info,Điểm chuẩn ngành Quy hoạch vùng và đô thị năm nay là bao nhiêu?,direct,
ask_major_info,Điểm chuẩn ngành Mỹ thuật Đô thị năm nay là bao nhiêu?,direct,
ask_major_info,Điểm chuẩn ngành Thiết kế công nghiệp năm nay là bao nhiêu?,direct,
ask_major_info,Điểm chuẩn ngành Thiết kế đồ hoạ năm nay là bao nhiêu?,direct,
ask_major_info,Điểm chuẩn ngành Thiết kế thời trang năm nay là bao nhiêu?,direct,
ask_major_info,Điểm chuẩn ngành Kỹ thuật xây dựng năm nay là bao nhiêu?,direct,
ask_major_info,Điểm chuẩn ngành Kỹ thuật xây dựng/ Xây dựng Dân dụng và Công nghiệp năm nay là bao nhiêu?,direct,
ask_major_info,Điểm chuẩn ngành Kỹ thuật xây dựng/ Hệ thống kỹ thuật trong công trình năm nay là bao nhiêu?,direct,
ask_major_info,Điểm chuẩn ngành Kỹ thuật xây dựng/ Tin học xây dựng năm nay là bao nhiêu?,direct,
ask_major_info,Điểm chuẩn ngành Kỹ thuật xây dựng/ Kỹ thuật Công trình thuỷ năm nay là bao nhiêu?,direct,
ask_major_info,Điểm chuẩn ngành Kỹ thuật xây dựng/ Kỹ thuật công trình biển năm nay là bao nhiêu?,direct,
ask_major_info,Điểm chuẩn ngành Công nghệ kỹ thuật xây dựng năm nay là bao nhiêu?,direct,
ask_major_info,Điểm chuẩn ngành Kỹ thuật xây dựng công trình Giao thông/ Xây dựng Cầu đường năm nay là bao nhiêu?,direct,
ask_major_info,Điểm chuẩn ngành Kỹ thuật xây dựng công trình Giao thông/ Đường sắt tốc độ cao và đường sắt đô thị năm nay là bao nhiêu?,direct,
ask_major_info,Điểm chuẩn ngành Kỹ thuật Cấp thoát nước/ Kỹ thuật nước - Môi trường nước năm nay là bao nhiêu?,direct,
ask_major_info,Điểm chuẩn ngành Kỹ thuật Môi trường năm nay là bao nhiêu?,direct,
ask_major_info,Điểm chuẩn ngành Kỹ thuật vật liệu năm nay là bao nhiêu?,direct,
ask_major_info,Điểm chuẩn ngành Công nghệ kỹ thuật Vật liệu xây dựng năm nay là bao nhiêu?,direct,
ask_major_info,Điểm chuẩn ngành Công nghệ thông tin/ Công nghệ Đa phương tiện năm nay là bao nhiêu?,direct,
ask_major_info,Điểm chuẩn ngành Công nghệ thông tin/ An toàn thông tin năm nay là bao nhiêu?,direct,
ask_major_info,Điểm chuẩn ngành Khoa học dữ liệu năm nay là bao nhiêu?,direct,
ask_major_info,Điểm chuẩn ngành Kỹ thuật cơ khí năm nay là bao nhiêu?,direct,
ask_major_info,Điểm chuẩn ngành Kỹ thuật cơ khí/ Máy xây dựng năm nay là bao nhiêu?,direct,
ask_major_info,Điểm chuẩn ngành Kỹ thuật cơ khí/ Kỹ thuật cơ điện năm nay là bao nhiêu?,direct,
ask_major_info,Điểm chuẩn ngành Kỹ thuật cơ khí/ Kỹ thuật ô tô năm nay là bao nhiêu?,direct,
ask_major_info,Điểm chuẩn ngành Kỹ thuật điện năm nay là bao nhiêu?,direct,
ask_major_info,Điểm chuẩn ngành Kỹ thuật điều khiển và tự động hoá năm nay là bao nhiêu?,direct,
ask_major_info,Điểm chuẩn ngành Kinh tế xây dựng năm nay là bao nhiêu?,direct,
ask_major_info,Điểm chuẩn ngành Quản lý xây dựng/ Kinh tế và quản lý đô thị năm nay là bao nhiêu?,direct,
ask_major_info,Điểm chuẩn ngành Quản lý xây dựng/ Kinh tế và quản lý bất động sản năm nay là bao nhiêu?,direct,
ask_major_info,"Điểm chuẩn ngành Quản lý xây dựng/ Quản lý hạ tầng, đất đai đô thị năm nay là bao nhiêu?",direct,
ask_major_info,Điểm chuẩn ngành Quản lý xây dựng/ Kiểm toán đầu tư xây dựng năm nay là bao nhiêu?,direct,
ask_major_info,Điểm chuẩn ngành Quản lý Dự án năm nay là bao nhiêu?,direct,
ask_major_info,Điểm chuẩn ngành Logistics và Quản lý chuỗi cung ứng/ Logistics đô thị năm nay là bao nhiêu?,direct,
ask_major_info,Điểm chuẩn ngành Logistics và Quản lý chuỗi cung ứng/ Logistics công nghiệp năm nay là bao nhiêu?,direct,
ask_major_info,Điểm chuẩn ngành Kỹ thuật xây dựng (Chương trình đào tạo kỹ sư chất lượng cao PFIEV) năm nay là bao nhiêu?,direct,
ask_major_info,Điểm chuẩn ngành Kỹ thuật xây dựng (Chương trình đào tạo liên kết với Đại học Mississippi - Hoa Kỳ) năm nay là bao nhiêu?,direct,
ask_major_info,Điểm chuẩn ngành Khoa học máy tính (Chương trình đào tạo liên kết với Đại học Mississippi - Hoa Kỳ) năm nay là bao nhiêu?,direct,
ask_admission_method,Trường có xét theo PT_THPT không,direct,
ask_admission_method,Phương thức PT_THPT áp dụng cho ngành nào,direct,
ask_admission_method,Có thể dùng PT_THPT để xét tuyển không,direct,
ask_admission_method,Trường có xét theo PT_HOCBA không,direct,
ask_admission_method,Phương thức PT_HOCBA áp dụng cho ngành nào,direct,
ask_admission_method,Có thể dùng PT_HOCBA để xét tuyển không,direct,
ask_admission_method,Trường có xét theo PT_TSA không,direct,
ask_admission_method,Phương thức PT_TSA áp dụng cho ngành nào,direct,
ask_admission_method,Có thể dùng PT_TSA để xét tuyển không,direct,
ask_admission_method,Trường có xét theo PT_SPT không,direct,
ask_admission_method,Phương thức PT_SPT áp dụng cho ngành nào,direct,
ask_admission_method,Có thể dùng PT_SPT để xét tuyển không,direct,
ask_admission_method,Trường có xét theo PT_VSAT không,direct,
ask_admission_method,Phương thức PT_VSAT áp dụng cho ngành nào,direct,
ask_admission_method,Có thể dùng PT_VSAT để xét tuyển không,direct,
ask_admission_method,Trường có xét theo PT_CHUNGCHI_NN không,direct,
ask_admission_method,Phương thức PT_CHUNGCHI_NN áp dụng cho ngành nào,direct,
ask_admission_method,Có thể dùng PT_CHUNGCHI_NN để xét tuyển không,direct,
ask_admission_method,Trường có xét theo PT_TUYENTHANG không,direct,
ask_admission_method,Phương thức PT_TUYENTHANG áp dụng cho ngành nào,direct,
ask_admission_method,Có thể dùng PT_TUYENTHANG để xét tuyển không,direct,
ask_subject_combination,Ngành nào xét A00,direct,
ask_subject_combination,Tổ hợp A00 gồm những môn gì,direct,
ask_subject_combination,Khối A00 có vào được CNTT không,direct,
ask_subject_combination,Ngành nào xét A01,direct,
ask_subject_combination,Tổ hợp A01 gồm những môn gì,direct,
ask_subject_combination,Khối A01 có vào được CNTT không,direct,
ask_subject_combination,Ngành nào xét C01,direct,
ask_subject_combination,Tổ hợp C01 gồm những môn gì,direct,
ask_subject_combination,Khối C01 có vào được CNTT không,direct,
ask_subject_combination,Ngành nào xét D01,direct,
ask_subject_combination,Tổ hợp D01 gồm những môn gì,direct,
ask_subject_combination,Khối D01 có vào được CNTT không,direct,
ask_subject_combination,Ngành nào xét D07,direct,
ask_subject_combination,Tổ hợp D07 gồm những môn gì,direct,
ask_subject_combination,Khối D07 có vào được CNTT không,direct,
ask_subject_combination,Ngành nào xét V00,direct,
ask_subject_combination,Tổ hợp V00 gồm những môn gì,direct,
ask_subject_combination,Khối V00 có vào được CNTT không,direct,
ask_subject_combination,Ngành nào xét V02,direct,
ask_subject_combination,Tổ hợp V02 gồm những môn gì,direct,
ask_subject_combination,Khối V02 có vào được CNTT không,direct,
ask_subject_combination,Ngành nào xét V10,direct,
ask_subject_combination,Tổ hợp V10 gồm những môn gì,direct,
ask_subject_combination,Khối V10 có vào được CNTT không,direct,
ask_subject_combination,Ngành nào xét H00,direct,
ask_subject_combination,Tổ hợp H00 gồm những môn gì,direct,
ask_subject_combination,Khối H00 có vào được CNTT không,direct,
ask_subject_combination,Ngành nào xét X06,direct,
ask_subject_combination,Tổ hợp X06 gồm những môn gì,direct,
ask_subject_combination,Khối X06 có vào được CNTT không,direct,
ask_deadline,Thời gian DK_HOCBA_2025 là khi nào,direct,
ask_deadline,Hạn chót DK_HOCBA_2025,direct,
ask_deadline,Bao giờ DK_HOCBA_2025 bắt đầu,direct,
ask_deadline,Thời gian DK_NV_BO_2025 là khi nào,direct,
ask_deadline,Hạn chót DK_NV_BO_2025,direct,
ask_deadline,Bao giờ DK_NV_BO_2025 bắt đầu,direct,
ask_deadline,Thời gian NHAN_THE_NK_2025 là khi nào,direct,
ask_deadline,Hạn chót NHAN_THE_NK_2025,direct,
ask_deadline,Bao giờ NHAN_THE_NK_2025 bắt đầu,direct,
ask_deadline,Thời gian THI_NK_2025 là khi nào,direct,
ask_deadline,Hạn chót THI_NK_2025,direct,
ask_deadline,Bao giờ THI_NK_2025 bắt đầu,direct,
ask_deadline,Thời gian 15/05/2025 đến 20/06/2025 là khi nào,direct,
ask_deadline,Hạn chót 15/05/2025 đến 20/06/2025,direct,
ask_deadline,Bao giờ 15/05/2025 đến 20/06/2025 bắt đầu,direct,
ask_deadline,Thời gian 16/07/2025 đến 28/07/2025 là khi nào,direct,
ask_deadline,Hạn chót 16/07/2025 đến 28/07/2025,direct,
ask_deadline,Bao giờ 16/07/2025 đến 28/07/2025 bắt đầu,direct,
ask_deadline,Thời gian 04/07/2025 nhận thẻ là khi nào,direct,
ask_deadline,Hạn chót 04/07/2025 nhận thẻ,direct,
ask_deadline,Bao giờ 04/07/2025 nhận thẻ bắt đầu,direct,
ask_deadline,Thời gian 05/07/2025 thi năng khiếu là khi nào,direct,
ask_deadline,Hạn chót 05/07/2025 thi năng khiếu,direct,
ask_deadline,Bao giờ 05/07/2025 thi năng khiếu bắt đầu,direct,
ask_fee,Học phí HP_CHINHQUY_2025 là bao nhiêu,direct,
ask_fee,Mức học phí HP_CHINHQUY_2025,direct,
ask_fee,Học phí năm nay bao nhiêu,direct,
ask_condition,Điều kiện HB_18_55 cụ thể là gì,direct,
ask_condition,Muốn xét theo HB_18_55 cần đáp ứng thế nào,direct,
ask_condition,Yêu cầu đối với HB_18_55 là gì,direct,
ask_condition,Điều kiện IELTS_55 cụ thể là gì,direct,
ask_condition,Muốn xét theo IELTS_55 cần đáp ứng thế nào,direct,
ask_condition,Yêu cầu đối với IELTS_55 là gì,direct,
ask_subject_combination,Ngành Kiến trúc xét tổ hợp nào,direct,
ask_subject_combination,Mã 7580101 xét những tổ hợp nào,direct,
ask_subject_combination,Tổ hợp nan có vào được ngành Kiến trúc không,indirect,
ask_previous_score,Điểm chuẩn ngành Kiến trúc năm 2020 là bao nhiêu,direct,
ask_previous_score,Kiến trúc 2020 tổ hợp nan điểm bao nhiêu,followup,
ask_previous_score,Điểm chuẩn ngành Kiến trúc năm 2021 là bao nhiêu,direct,
ask_previous_score,Kiến trúc 2021 tổ hợp nan điểm bao nhiêu,followup,
ask_previous_score,Điểm chuẩn ngành Kiến trúc năm 2022 là bao nhiêu,direct,
